userId,age,sex,birthDay
1,60.0,0,1988-12-26 00:00:00
2,49.0,1,1979-12-09 00:00:00
3,,,1986-12-22 00:00:00
4,30.0,0,1980-01-23 00:00:00
5,30.0,1,1961-04-07 00:00:00
6,46.0,0,1972-11-06 00:00:00
7,43.0,0,1972-11-06 00:00:01
8,54.0,0,1991-03-29 00:00:00
9,54.0,0,1992-01-10 00:00:00
10,46.0,0,1975-03-25 00:00:00
11,46.0,0,1979-03-10 00:00:00
12,58.0,0,1967-05-24 00:00:00
13,58.0,0,1968-01-10 00:00:00
14,34.0,0,1975-04-03 00:00:00
15,27.0,1,1975-05-13 00:00:00
16,48.0,0,1963-09-26 00:00:00
17,47.0,0,1963-04-17 00:00:00
18,33.0,0,1988-02-20 00:00:00
19,50.0,0,1994-11-18 00:00:00
20,42.0,0,1973-05-31 00:00:00
21,42.0,0,1974-07-23 00:00:00
22,48.0,1,1988-12-02 00:00:00
23,48.0,1,1972-02-22 00:00:00
24,43.0,0,1979-04-05 00:00:00
25,49.0,1,1979-04-05 00:00:00
26,53.0,1,1992-05-27 00:00:00
27,34.0,0,1987-07-10 00:00:00
28,28.0,0,1993-09-09 00:00:00
29,49.0,0,1972-04-08 00:00:00
30,28.0,1,1993-07-01 00:00:00
31,30.0,0,1991-11-28 00:00:00
32,35.0,1,1986-09-02 00:00:00
