userId,age,sex,birthDay
1,33.0,0,1988-12-26 00:00:00
2,42.0,1,1979-12-09 00:00:00
3,35.0,0,1986-12-22 00:00:00
4,38.0,1,1983-12-08 00:00:00
5,43.0,1,1978-04-08 00:00:00
6,,,
7,62.0,1,1959-05-19 00:00:00
8,,,
9,,,
10,30.0,0,1991-11-09 00:00:00
11,,,
12,,,
13,,,
14,,,
15,23.0,0,1998-08-07 00:00:00
16,,,
17,,,
18,46.0,1,1975-12-21 00:00:00
19,25.0,1,1996-03-12 00:00:00
20,,,
21,43.0,1,1978-09-01 00:00:00
22,29.0,0,1992-05-20 00:00:00
23,45.0,1,1976-11-08 00:00:00
24,34.0,0,1987-10-24 00:00:00
25,30.0,0,1991-03-29 00:00:00
26,29.0,1,1992-05-27 00:00:00
27,34.0,0,1987-07-10 00:00:00
28,28.0,0,1993-09-09 00:00:00
29,49.0,0,1972-04-08 00:00:00
30,28.0,1,1993-07-01 00:00:00
31,30.0,0,1991-11-28 00:00:00
32,35.0,1,1986-09-02 00:00:00
